word,sentence
proceed,"I know how busy you must be, but I need your answer to my last email before I can proceed with the project. Can you take a moment and write me back?"
proceed,He has no distinct idea of how to proceed.
cycle,We can clearly see the cycle of the seasons in Canada.
cycle,A business cycle is a recurring succession of periods of prosperity and periods of depression.
cycle,The economy is at peak of a business cycle at present.
cycle,The cycle of blood is not regular.
cycle,My menstrual cycle is about every four weeks.
recovery,Improving corporate performances are behind the stock market recovery.
recovery,"Business recovery, which looks to be just around the corner, will be rapid and strong."
recovery,Recovery was almost impossible.
recovery,"Though the doctor did his best, the patient's recovery was slow."
recovery,The doctor's careful examination of the patient brought about his speedy recovery.
merger,Company attorneys are working around the clock to complete the merger.
merger,The office has been topsy-turvy since the merger upset everything.
merger,"The tea leaves all point to a merger, if you ask me."
merger,The merger was implemented on a 50-50 ratio.
merger,The merger created the largest bank in Japan.
peculiar,Every nation has its peculiar character.
peculiar,Feathers are peculiar to birds.
peculiar,Was Nazism peculiar to Germany?
peculiar,"For instance, bowing is peculiar to us, the Japanese."
peculiar,The odd custom is peculiar to the region.
magazine,"You must not read such a magazine, as it will do you harm."
magazine,Mick killed time by reading a magazine while waiting for his date.
magazine,"One magazine is for boys, and another for girls."
magazine,Here's a magazine for you to read in the plane.
magazine,Any magazine will do.
smooth,The sea was as smooth as glass.
smooth,The sea looks calm and smooth.
smooth,I was easily taken in by his smooth talk.
smooth,It's nice to drive on a smooth road.
smooth,The meat is smooth and soft.
clash,Our interests clash with theirs.
clash,The two meetings clash.
clash,The two strongest teams will clash with each other this weekend.
clash,There was a violent clash of opinions between the two leaders.
clash,The red shoes clash with this green shirt.
establish,Our ultimate goal is to establish world peace.
establish,"For your information, the marketing subcommittee is scheduling a phone conference to establish objectives and directions for 1998."
establish,The question of how to establish the optimal formula is still open.
establish,You establish the property right by paying for it.
establish,The police could not establish the identity of the man.
stem,Scientists are fighting to stem the spread of the AIDS virus.
stem,A rose has thorns on its stem.
stem,The plant has an underground stem.
stem,He dropped his wineglass and broke its stem.
stem,Which schools stem from Buddhist thought?
qualify,How early do I have to make a reservation to qualify for the discount?
qualify,In order to qualify for the homestay you must have an interview with the sponsors.
qualify,Let's qualify this gin with tonic water.
qualify,Does my training qualify me to teach?
qualify,"In French, adjectives agree in gender and number with the noun they qualify."
occupation,You must take up a regular occupation.
occupation,Mingle your joys sometimes with your earnest occupation.
occupation,My brother has no occupation now.
occupation,"Don't discriminate against people based on nationality, gender, or occupation."
occupation,I cannot afford to leave you idle. You must take up a regular occupation.
string,Lend me something with which to cut the string.
string,Pull the string and the water flushes.
string,Tom attached the string to the kite.
string,The parcel was tied with string.
string,The string is very weak.
universal,Music is universal.
universal,English is a universal language and is used all over the world.
universal,English is a kind of universal language.
universal,It has no absolute and universal significance.
universal,This is a universal truth that transcends time.
spaceship,The spaceship is out of orbit around the moon.
spaceship,The spaceship made a perfect landing.
spaceship,A voyage to the moon in a spaceship is no longer a dream.
spaceship,"Seen from a spaceship, the Earth looks blue."
spaceship,The spaceship was never to return to Earth.
reveal,It is not ethical for a doctor to reveal confidences.
reveal,"If he doesn't get a letter from me once a month, he will reveal the Pope's secret to the world."
reveal,On no account should you reveal the secret.
reveal,These letters reveal her to be an honest lady.
reveal,The severity of such marks can reveal whether or not any of these people were habitually engaged in hard labor.
miserable,A miserable sequence of defeats discouraged us.
miserable,The experiment resulted in a miserable failure.
miserable,The sight was too miserable to look at.
miserable,"Kate glanced at Chris and then ignored him, making him feel miserable."
miserable,The economy was in miserable condition.
district,The fire and power outage resulted in a shortened workday at some exchanges in Manhattan's financial district.
district,The panic spread through the district in an instant.
district,The power plant supplies the remote district with electricity.
district,The legend has come down in this district from olden times.
district,The district is abundant in natural resources.
collision,"In the collision with a Volvo, our car naturally got the worst of it."
collision,His story of the collision agrees with mine.
collision,There was a multiple collision on the highway.
collision,The bike was mangled in its collision with the truck.
collision,He recalled that a collision had been avoided by sheer luck.
ordeal,Bob has to get through this ordeal on his own.
ordeal,Tom told Mary about last night's ordeal.
ordeal,Tom couldn't talk about his ordeal with anyone.
ordeal,Tom has been through quite an ordeal.
ordeal,Speaking in public was an ordeal for Tom.
grotesque,"They made huge, grotesque, yet beautiful poles of red cedar."
grotesque,"When seen in the perspective of half-a-dozen years or more, the best of our fashions strike us as grotesque, if not unsightly."
grotesque,"From this point on, the story becomes so twisted and grotesque that I can't stop reading it anymore."
grotesque,"It is grotesque: every private company, even small private companies, think European nowadays, but not so the governments of their states."
grotesque,"If the agreement were enforced, it would create a situation verging on the grotesque."
alliance,Japan entered into an alliance with France just before the war.
alliance,Germany made an alliance with Italy.
alliance,He argued for our forming the alliance with that nation.
alliance,Iceland entered into an alliance with France.
alliance,There is an important alliance between these two countries.
gorgeous,What a gorgeous sunset! Let's hang around for a couple of minutes and watch it.
gorgeous,What a gorgeous coat you're wearing!
gorgeous,The gorgeous cake made my mouth water.
gorgeous,The weather was gorgeous.
gorgeous,That's a gorgeous color. What kind of beer is that?
contention,"Spread the table, and contention will cease."
contention,The division of the property was a bone of contention between the brothers.
contention,The choice of place for holiday turned out to be a real bone of contention in their family this year.
contention,"Dr. Zamenhof didn't give us any rules for the use of punctuation in Esperanto, because he well knew what a bone of contention that would be."
contention,"However there are still many points of contention, which could sidetrack a deal before a self-imposed January deadline."
teenager,A teenager sometimes acts like a baby.
teenager,You could pass for a teenager if you wore a T-shirt.
teenager,When I was a teenager I had lots of hair on my head and none on my chest. Now it's just the opposite.
teenager,The teenager insisted she was innocent of cheating.
teenager,The teenager is showing off his new car.
cricket,"Just as Japanese boys play baseball, so English boys play cricket."
cricket,I should like to join the cricket club.
cricket,"Just as the Americans like baseball, the British like cricket."
cricket,My uncle is an amateur cricket player.
cricket,Baseball is different from cricket.
parallel,It has no parallel.
parallel,The road is parallel to the river.
parallel,The river runs parallel to the main street.
parallel,The girl exercised on the parallel bars.
parallel,This line is parallel to the other.
cambridge,"Then he began his work at Cambridge, developing many new ideas about the nature of the universe."
cambridge,"Then Hawking wanted to finish his degree, work at Cambridge, and keep on living."
cambridge,The train for Cambridge leaves from Platform 5.
cambridge,"Passengers for Cambridge, please make your way to platform 6."
cambridge,I remember meeting that man at Cambridge before.
eloquent,The eloquent campaigner was elected hands down.
eloquent,The boy became more eloquent.
eloquent,We were deeply impressed by the lecturer's eloquent speech.
eloquent,"When it comes to politics, he is as eloquent as anyone."
eloquent,The audience was impressed by his eloquent lecture.
premium,"You pay 10,000 yen a month as an insurance premium."
premium,I got a premium for subscribing to the magazine.
premium,How much is the premium?
premium,Imogen of the Internet is fighting six bored housewives to win an eBay auction for a bag of premium chai tea.
premium,I received a premium six-piece cheese knife set as a birthday gift.
favourable,The boy more than justified the favourable opinion they had formed of him.
favourable,The film received favourable criticism.
favourable,"Everyone has the right to work, to free choice of employment, to just and favourable conditions of work and to protection against unemployment."
favourable,The condition looks favourable.
favourable,Another factor to be taken into consideration is that the present situation is favourable to us.
irritate,The fact seemed to irritate her husband.
irritate,His incompetence began to irritate everyone.
irritate,Doesn't it irritate you to see couples making out around town?
irritate,"The substance can irritate or corrode the skin, eyes, or mucous membranes."
irritate,Flashy people irritate him.
prospective,The company invited their prospective customers to the party.
prospective,Prospective buyers couldn't make heads or tails out of the contract.
prospective,"Doctors still do not fully understand sudden infant death syndrome, which I find terrifying as a prospective parent."
prospective,We have several prospective new members. I hope they will join us.
prospective,The realtor had custom drapes ordered for the house to make it look more appealing to prospective home buyers.
masculine,The radio announcer had a masculine voice.
masculine,Joe's masculine smell made Louisa sick.
masculine,Men like to look masculine.
masculine,Some women look more masculine than feminine.
masculine,"Brothers Grimm's Little Red Riding Hood has a neutral gender, while Charles Perrault's has a masculine one."
assertive,Don't be so self-assertive.
assertive,He was assertive by nature.
assertive,She's assertive.
assertive,You need to learn to be assertive.
assertive,Tom is assertive.
executive,This was an executive decision.
executive,We'll need a head hunting agency to find the right man for this executive position.
executive,The executive director is a real pushover for looks.
executive,I got acquainted with the chief executive.
executive,I trust his executive ability.
harmonize,Such language doesn't harmonize with his character.
harmonize,You should harmonize your ambitions with your abilities.
harmonize,The third point to make is that Emmet attempted to harmonize his theory with the reality of designing.
harmonize,"The second is the affinity with environment. By utilizing natural energy and reducing wastes, we have to make houses which harmonize with ecology."
harmonize,These colors harmonize very well.
overcrowded,"In the U.S., there are more prisoners than there is jail space for them. So the prisons are overcrowded."
overcrowded,He organized his overcrowded schedule and managed to come to see my performance.
overcrowded,The jail is overcrowded.
overcrowded,If each generation die and leave ghosts the world at last will get overcrowded with them.
overcrowded,Prisons are overcrowded.
imbalance,The trade imbalance between two nations should be improved.
imbalance,The trade imbalance bulks large in our minds.
imbalance,Female hormone imbalance is a major cause of infertility.
imbalance,Love is simply a temporary hormonal imbalance.
imbalance,Love is nothing more than a temporary hormone imbalance.
relaxation,Credit relaxation is considered necessary to shore up business.
relaxation,Stupidity is the relaxation of intelligence.
relaxation,"All in all, I think my hobbies are balanced; they bring some relaxation to my life, and at the same time bring focus to my studies."
relaxation,What do you do for relaxation?
relaxation,Summer vacation always equals idleness and relaxation.
fitness,You can apply for a physical fitness test regardless of your age.
fitness,The physical fitness courses are required for everyone.
fitness,Nobody doubts his fitness for the position.
fitness,No one doubts her fitness for the post.
fitness,She exercises every day at a fitness club.
lease,Antibodies give a new lease of life.
lease,Didn't you sign a lease?
lease,I signed the lease today.
lease,Is there a clause in the lease regarding that?
lease,Are you going to renew your lease when it expires?
petroleum,The present world owes its convenient life to petroleum.
petroleum,The ecologist warned us that petroleum was not merely a blessing but also a curse.
petroleum,Products made from petroleum are vital to modern societies.
petroleum,Petroleum priced coal out of the energy market in Japan.
petroleum,Petroleum was replacing coal as fuel.
dictate,No one shall dictate to me.
dictate,I can't keep up with you. Could you dictate a bit slower?
dictate,"Friends, don't be constantly in fear of the unthinkingly critical, grimacing conventional world, but always act as your conscience and heart dictate."
dictate,I do not dictate your lessons.
dictate,Don't dictate your rules on me.
swell,The toothache made his face swell up.
swell,"In addition to a thick fog, there was a heavy swell."
swell,"""One swell foop"" is a Spoonerism, ""the flaw in the ointment"" is a Farberism."
swell,I think you're swell.
swell,"You're a swell guy, Tom."
aptitude,Genius is nothing but a great aptitude for patience.
aptitude,He has a remarkable aptitude for music.
aptitude,He has an aptitude for painting.
aptitude,"Your attitude, not your aptitude, determines your altitude."
aptitude,I finally passed the aptitude test for higher management studies.
dread,Why do you think animals dread fire?
dread,Cats have a dread of water.
dread,He may dread to learn the results.
dread,He is in constant dread of his father.
dread,They live in constant dread of floods.
chatter,Her continuous chatter vexes me.
chatter,I'm fed up with her chatter.
chatter,The girls' chatter was endless.
chatter,The government is looking for ways to monitor online chatter about political issues and correct what it perceives as misinformation.
chatter,You chatter too much.
utterance,She choked her utterance with sobs.
utterance,The utterance is potentially misleading.
utterance,This utterance is not a sentence.
utterance,Tom has naturally a very agreeable voice and utterance.
utterance,"Mary gave utterance to her outrage and turned away from Tom, offended."
confront,A soldier often has to confront danger.
confront,"And so in that spirit, let me speak as clearly and plainly as I can about some specific issues that I believe we must finally confront together."
confront,The first issue that we have to confront is violent extremism in all of its forms.
confront,I think it's time for me to confront that problem.
confront,Tom wanted to confront Mary.
summon,Summon up your courage and tell the truth.
summon,"Woe to the insane wizards and witches who dedicate themselves to the Devil, and standing in a circle, call upon him with spells to summon him."
summon,Mary hoped that Tom would summon up the courage to kiss her.
summon,We need to summon the spirits.
summon,Where does he summon all that enthusiasm?
bard,I got the OK so I unthinkingly created the clichéd 'grass runner thief/bard' character.
bard,"In the Welsh version of this fascinating legend it is the bard Gwyddno, of the twelfth century, who tells of the downfall of the submerged city."
bard,"Together, a bard, a wizard, a cleric, a barbarian and a monk comprise the party."
bard,The bard played the lute.
bard,The bard was playing the lute.
mosaic,Please ensure the genitals are obscured by a mosaic effect.
mosaic,A woman in movement clothed in what resembles a bikini is drawn on a Sicilian mosaic from 5th century Rome.
mosaic,"The world of thinking is a mosaic of visions, expressed through language."
mosaic,This is a glass mosaic.
mosaic,"On the walls of the steam sauna is a beautiful mosaic in pleasing colours. Because of the steam and the subdued lighting, it can only be seen dimly."
spray,By means of a super high-pressure water spray practically all the sediment is removed.
spray,"What kind of deodorant do you prefer, spray or roll-on?"
spray,"Hey man, I beg you - spray some insecticide behind the fridge."
spray,Mary carries pepper spray in her purse.
spray,Tom drove to the store and bought three cans of insect spray.
literacy,"Secondly, the literacy rate in Europe of that time was low."
literacy,Many new teachers feel ill-prepared to teach basic literacy and numeracy.
literacy,This organisation promotes literacy in rural areas.
literacy,"About half of India is illiterate, and their literacy often isn't about English, so many are not becoming Westernized."
literacy,What's Tom's computer literacy like?
cater,The net-cafes here cater to students; fees start at around a pound an hour.
cater,"We cater to you, the customer with refined taste."
cater,"When Congress is dysfunctional, we should draw our congressional districts to encourage politicians to cater to common sense and not rigid extremes."
cater,Now youngsters are beginning to stay to cater to the unexpected wave of tourism.
cater,"Laborers in the emerging underclass who cater to the whims of the better-off are sometimes referred to as “wealth workers."""
correlation,"The more I study for an exam, the worse I do! I guess correlation does not imply causation."
correlation,Correlation does not imply causation.
correlation,Correlation does not equal causation.
correlation,Correlation doesn't imply causation.
correlation,We assessed reliability using the Cronbach's alpha coefficient and validity using the correlation analysis.
enquiry,I appreciate your answering my enquiry so promptly.
enquiry,"The Prime Minister said that the enquiry would establish who knew what, when."
enquiry,The long-awaited commission of enquiry report was released yesterday afternoon.
enquiry,The minister was caught lying to the corruption enquiry and was forced to resign.
enquiry,"Although the victims have filed complaints with the authorities since 2002 and there has been a departmental enquiry, no action has been taken so far."
discrete,I'm very discrete.
discrete,I am very discrete.
discrete,Every march is composed of discrete steps.
discrete,Let's try to be discrete about this.
repugnant,It's morally repugnant.
repugnant,"There's something in the face of this man that's repugnant and that I do not like; moreover, I would say that I am inclined to hate him."
repugnant,This is repugnant.
repugnant,Those views are outmoded and repugnant.
repugnant,"The hideous, repugnant, and genocidal war starves trapped crowds to death, bombs hospitals, and targets journalists."
benign,The toxin that causes diphtheria is produced by a normally benign bacterium when infected with a certain virus.
benign,The tumor was benign.
benign,The tumour was benign.
benign,The results of Tom's biopsy show that the tumor is benign.
benign,"Despite significant surgical risks and potential long-term effects, hysterectomies are often performed for benign conditions."
torpor,Everything seemed dulled by Sunday's torpor and the dolefulness of the summer days.
torpor,"In spring, there are more flowers. In summer it's hotter. In autumn, there are lyrical colors. In winter, there is sleep and torpor."
treatable,It's treatable.
treatable,This is a successfully treatable condition.
treatable,"Tuberculosis is treatable with antibiotics, but in thousands of cases, antibiotic misuse has caused the disease to become non-responsive to the drugs."
treatable,Fistula is both preventable and treatable and is virtually unheard of in the developed world.
ubiquitous,The now ubiquitous occurrence of sectarian violence is the product of growing tensions between the country's different ethnic groups.
ubiquitous,Cellphones are now ubiquitous.
ubiquitous,Creativity is ubiquitous.
ubiquitous,"In the shantytowns of Africa and India, many people have smartphones. Advanced technology is ubiquitous."
ubiquitous,"In Animism, there is credence in ubiquitous spirit entities pervading the totality of Nature."
incline,"The more powerful and original a mind, the more it will incline towards the religion of solitude."
incline,Say hello to my incline treadmill.
incline,"So saying, my neck and shoulders I incline, / and round them fling a lion's tawny hide, / then lift the load."
incline,We ascended a steep incline.
incline,The street had such a steep incline that we had to push our bikes up it.
similarity,The similarity is pretty vague.
similarity,This video is a harmless joke and is in no way meant to insult anyone. Any similarity with real characters or events is coincidental.
similarity,Have you noticed the similarity in pronunciation between the Polish and Portuguese languages?
similarity,I am not writing about myself. Any similarity is purely coincidental.
similarity,All events and persons in the following program are fictional. Any similarity to real events or persons is purely coincidental.
portrayal,That film was an extremely inaccurate portrayal of key historical events.
portrayal,Pornography is a sinful and immoral portrayal of human sexuality.
animate,We have to animate this scene by Friday!
animate,"Whereas the junction is more stiff or rigid, the nexus is more pliable; it is, as it were, animate or articulated."
hue,"The youngest princess made her garden round like the sun, and she would only have flowers of a rosy hue like its beams."
hue,This girl's hair has the red hue of the setting sun.
hue,This girl's hair had the red hue of the setting sun.
hue,"As it oxidizes, the color turns blue and finally becomes a brilliant reddish-purple hue."
hue,The leaves are taking on a golden yellow hue.
inflow,He forgot to stop the inflow of water.
wail,"Please don't wail like that, you'll make the neighbours think there's been a death in the family."
wail,"You can cry and wail all you like, no one is going to hear you."
wail,Brenda let out a loud wail at the sight of her dead daughter.
wail,"Believe it or not, her job is to go to strangers' funerals and wail."
wail,The wail of sirens was so loud that I couldn't fall asleep.
complaisant,Susan was so complaisant that she rarely did anything she would have preferred to do.
complaisant,Tom was a complaisant child.
complaisant,Tom's complaisant wife Mary is a stark contrast to his fiercely independent sister Alice.
complaisant,Tom is a complaisant husband.
